Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
2014-02-17,100.30000305175781,1319.0,11686.0,1838.6300048828125,4555.19091796875,13.569999694824219,6.39492882396559,7.5,0.07
2014-02-18,102.43000030517578,1324.699951171875,11631.0,1840.760009765625,4556.013671875,13.869999885559082,6.39492882396559,7.5,0.07
2014-02-19,103.30999755859375,1320.5999755859375,11840.0,1828.75,4592.47216796875,15.5,6.39492882396559,7.5,0.07
2014-02-20,102.91999816894531,1317.0999755859375,11671.0,1839.780029296875,4598.04248046875,14.789999961853027,6.39492882396559,7.5,0.07
2014-02-21,102.19999694824219,1323.9000244140625,11761.0,1836.25,4645.9716796875,14.680000305175781,6.39492882396559,7.5,0.07
2014-02-24,102.81999969482422,1338.300048828125,11686.0,1847.6099853515625,4623.39453125,14.229999542236328,6.39492882396559,7.5,0.07
2014-02-25,101.83000183105469,1343.0,11576.0,1845.1199951171875,4577.11279296875,13.670000076293945,6.39492882396559,7.5,0.07
2014-02-26,102.58999633789062,1328.199951171875,11620.0,1845.1600341796875,4532.54345703125,14.350000381469727,6.39492882396559,7.5,0.07
2014-02-27,102.4000015258789,1331.5999755859375,11666.0,1854.2900390625,4568.76220703125,14.039999961853027,6.39492882396559,7.5,0.07
2014-02-28,102.58999633789062,1321.4000244140625,11601.0,1859.449951171875,4620.0361328125,14.0,6.39492882396559,7.5,0.07
2014-03-03,104.91999816894531,1350.0999755859375,11569.0,1845.72998046875,4584.0263671875,16.0,6.39492882396559,7.5,0.08
2014-03-04,103.33000183105469,1337.800048828125,11656.0,1873.9100341796875,4601.10546875,14.100000381469727,6.39492882396559,7.5,0.08
2014-03-05,101.44999694824219,1340.199951171875,11566.0,1873.81005859375,4658.99072265625,13.890000343322754,6.39492882396559,7.5,0.08
2014-03-06,101.55999755859375,1351.699951171875,11571.0,1877.030029296875,4687.67431640625,14.210000038146973,6.39492882396559,7.5,0.08
2014-03-07,102.58000183105469,1338.0999755859375,11410.0,1878.0400390625,4685.70751953125,14.109999656677246,6.39492882396559,7.5,0.08
2014-03-10,101.12000274658203,1341.4000244140625,11486.0,1877.1700439453125,4677.064453125,14.199999809265137,6.39492882396559,7.5,0.08
2014-03-11,100.02999877929688,1346.5,11430.0,1867.6300048828125,4704.03076171875,14.800000190734863,6.39492882396559,7.5,0.08
2014-03-12,97.98999786376953,1370.300048828125,11485.0,1868.199951171875,4684.2021484375,14.470000267028809,6.39492882396559,7.5,0.08
2014-03-13,98.19999694824219,1372.199951171875,11435.0,1846.3399658203125,4725.98291015625,16.219999313354492,6.39492882396559,7.5,0.08
2014-03-14,98.88999938964844,1379.0,11421.0,1841.1300048828125,4878.453125,17.81999969482422,6.39492882396559,7.5,0.08
2014-03-17,98.08000183105469,1372.9000244140625,11296.0,1858.8299560546875,4875.998046875,15.640000343322754,6.39492882396559,7.5,0.08
2014-03-18,99.69999694824219,1359.0,11286.0,1872.25,4805.4248046875,14.520000457763672,6.39492882396559,7.5,0.08
2014-03-19,100.37000274658203,1341.4000244140625,11325.0,1860.77001953125,4821.26953125,15.119999885559082,6.39492882396559,7.5,0.08
2014-03-20,99.43000030517578,1330.5,11310.0,1872.010009765625,4698.7900390625,14.520000457763672,6.39492882396559,7.5,0.08
2014-03-21,99.45999908447266,1336.0,11435.0,1866.52001953125,4700.03173828125,15.0,6.39492882396559,7.5,0.08
2014-03-24,99.5999984741211,1311.199951171875,11401.0,1857.43994140625,4720.236328125,15.09000015258789,6.39492882396559,7.5,0.08
2014-03-25,99.19000244140625,1311.4000244140625,11361.0,1865.6199951171875,4702.90771484375,14.020000457763672,6.39492882396559,7.5,0.08
2014-03-26,100.26000213623047,1303.4000244140625,11381.0,1852.56005859375,4728.05615234375,14.930000305175781,6.39492882396559,7.5,0.08
2014-03-27,101.27999877929688,1294.699951171875,11435.0,1849.0400390625,4722.87353515625,14.619999885559082,6.39492882396559,7.5,0.08
2014-03-28,101.66999816894531,1293.800048828125,11381.0,1857.6199951171875,4768.09130859375,14.40999984741211,6.39492882396559,7.5,0.08
2014-03-31,101.58000183105469,1283.4000244140625,11305.0,1872.3399658203125,4768.09130859375,13.880000114440918,6.39492882396559,7.5,0.08
2014-04-01,99.73999786376953,1279.5999755859375,11230.0,1885.52001953125,4873.744140625,13.100000381469727,6.39492882396559,7.5,0.09
2014-04-02,99.62000274658203,1290.5,11285.0,1890.9000244140625,4870.015625,13.09000015258789,6.39492882396559,7.5,0.09
